,intake_number,time_in_shelter_days,is_sterilized,is_sterilized_in_shelter,hair_length,condition_Aged,condition_Feral,condition_Injured,condition_Normal,condition_Nursing,condition_Other,condition_Pregnant,condition_Sick,in_type_Euthanasia Request,in_type_Owner Surrender,in_type_Public Assist,in_type_Stray,sex_male,colour_Black,colour_Blue,colour_Brown,colour_Calico,colour_Chocolate,colour_Orange,colour_Torbie,colour_White,pattern_Multicolor,pattern_Plain,pattern_Point,pattern_Tabby,age_upon_intake_days,in_month_1,in_month_2,in_month_3,in_month_4,in_month_5,in_month_6,in_month_7,in_month_8,in_month_9,in_month_10,in_month_11,in_month_12,age_group_0-1 months,age_group_1-2 years,age_group_10+ years,age_group_2-5 months,age_group_3-5 years,age_group_6-10 years,age_group_6-11 months
9731,0.0,65.04166666666667,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.39999999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9732,0.0,27.38958333333333,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9733,0.0,12.88125,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9734,0.3333333333333333,17.363194444444446,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9735,0.0,37.37638888888889,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.19999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9736,0.0,160.15694444444443,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9737,0.0,160.15694444444443,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9738,0.0,6.246527777777778,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.19999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9739,0.0,52.90833333333333,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.003835616438356164,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9740,0.0,53.0875,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.003835616438356164,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
