	animal_id_intake	intake_number	breed	mixed_breed	dog_size	avg_height	avg_weight	avg_lifespan	Adaptability	All Around Friendliness	Health And Grooming Needs	Trainability	Physical Needs
119	A352555	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
120	A352872	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
121	A353259	1.0	Labrador Retriever	False	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
122	A354725	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
123	A354753	1.0	American Pit Bull Terrier	False	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
124	A355519	1.0	Greyhound	False	5	69.85	30.38	14.0	2.6	4.67	4.6	4.2	4.33
125	A355688	1.0	Australian Shepherd	True	5	52.07	23.62	14.0	2.8	4.67	2.2	4.4	4.67
126	A355753	1.0	Beagle	True	3	35.56	10.8	12.0	2.8	5.0	2.8	3.6	4.33
127	A355753	2.0	Beagle	True	3	35.56	10.8	12.0	2.8	5.0	2.8	3.6	4.33
128	A357021	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
129	A357444	1.0	Dachshund	False	3	21.59	10.8	14.0	3.4	4.0	2.8	4.0	3.0
130	A357846	1.0	Great Pyrenees	True	5	72.39	55.12	11.0	2.8	4.33	3.4	3.4	5.0
131	A358697	1.0	American Pit Bull Terrier	True	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
132	A358879	1.0	German Shepherd Dog	False	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
133	A361391	1.0	Lhasa Apso	False	3	25.4	6.08	14.0	4.4	3.67	2.2	3.6	3.33
134	A362103	1.0	Cardigan Welsh Corgi	True	4	27.94	14.18	14.0	3.8	4.0	3.2	3.8	3.0
137	A362707	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
138	A362967	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
139	A363653	1.0	Catahoula Bulldog	True	5	63.5	39.38	12.0	1.6	3.0	2.8	3.4	5.0
140	A363653	2.0	Catahoula Bulldog	True	5	63.5	39.38	12.0	1.6	3.0	2.8	3.4	5.0
141	A364429	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
142	A365172	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
143	A365302	1.0	Border Collie	True	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
144	A367012	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
145	A367438	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
146	A367747	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
147	A368742	1.0	Chinese Shar-Pei	True	5	48.26	21.38	10.0	2.8	1.67	2.8	3.4	2.0
148	A368930	1.0	Boston Terrier	False	3	34.29	7.88	14.0	4.0	4.67	3.0	3.0	4.33
149	A370439	1.0	Pomeranian	True	1	24.13	2.25	14.0	3.4	3.0	2.8	3.4	2.33
150	A370852	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
151	A371102	1.0	Bullmastiff	True	5	64.77	51.75	9.0	3.0	4.67	3.6	3.2	3.0
152	A371344	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
154	A373687	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
156	A376322	1.0	American Pit Bull Terrier	True	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
157	A376459	1.0	Chow Chow	True	5	46.99	24.75	14.0	3.4	1.33	2.2	2.2	2.0
158	A377750	1.0	Australian Cattle Dog	True	4	46.99	18.0	14.0	2.8	4.0	3.4	4.2	5.0
159	A378348	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
160	A378348	2.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
161	A378353	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
162	A378818	1.0	Weimaraner	True	5	63.5	31.5	12.0	2.4	4.0	3.6	4.2	5.0
163	A378946	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
164	A379998	1.0	American Pit Bull Terrier	False	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
166	A380320	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
167	A380420	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
168	A380506	1.0	American Pit Bull Terrier	True	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
